DDO Code,DDO Designation
06012308007,"SUB REGISTRAR OFFICER, PEDAKAKANI, GUNTUR DIST"
06012308008,"SUB REGISTRAR OFFICER, NALLAPADU, GUNTUR DIST"
06012402001,"SOCIAL WELFARE(SC), DY DIRECTOR, GUNTUR"
06012603002,"TRANSPORT DEPT, DY COMMISSIONER, GUNTUR"
06012702001,"WOMEN & CHILD DEV AGENCY, PROJECT DIR, GUNTUR"
07010102001,"AGRL, JT DIRECTOR, ONGOLE"
07010102004,"AGRL, DY DIRECTOR, SC, ONGOLE"
07010102008,"ATMA, PROJECT DIR, ONGOLE"
07010103004,"APMIP, PROJECT DIR, ONGOLE"
07010104002,"ZILLA GRANDHALAYA SAMSTH, SECY, ONGOLE"
07010104003,"AGRL MARKETING COMIITTEE, SECY, SNPADU"
07010105001,"DIVI CO-OP OFFICER, ONGOLE"
07010105002,"DIST COOP OFFICER, ONGOLE"
07010105003,"DIST COOP AUDIT OFFICER, ONGOLE"
07010202006,VASVDKOTHAPATNAM
07010202009,VASVDNG PADU
07010202010,VASVDSN PADU
07010302001,"POLYTECHNIC COLLEGE, DA, GOVT, PRL, ONGOLE"
07010302002,"POLITECHNIC COLLEGE (W), SUVRSR, PRL, EMUKKALA"
07010307002,"DEGREE COLLEGE(W), GOVT, DS, PRL, ONGOLE"
07010307003,"JUNIOR COLLEGE, GOVT, KY, PRL, MADDIPADU"
07010307004,"JUNIOR COLLEGE,GOVT, PRL, TANGUTUR"
07010307005,"JUNIOR COLLEGE, GOVT, PRL, CHIMAKURTHY "
07010307006,"JUNIOR COLLEGE, GOVT, PRL, UPPUGUNDUR"
07010308001,"DIST EDUCATIONAL OFFICER, ONGOLE"
07010308011,"RAJIV VIDYA MISSION, FINANCE ACCOUNTS OFFICER, ONGOLE"
07010308066,"APEWIDC, EXE ENGINEER, ONGOLE"
07010402001,"DY CONSERVATOR OF FORERST OFFICER (PE) DIVISION, ONGOLE"
07010502003,"APSPDCL, SE(O) CIRCLE, ONGOLE"
07010702001,"DIST TREASURY, DY DIRECTOR, ONGOLE "
07010705001,"NAGARJUNA SAGAR PROJECT, APAO, ONGOLE"
07010802001,"DIST PANCHAYAT OFFICER, ONGOLE"
07010902002,"RIMS, SUPDT, ONGOLE"
07010903001,"DIST MEDICAL & HEALTH OFFICE, ADMN OFFICER, ONGOLE"
07010903021,"DIST COORDINATOR OF HEALTH SERVICES, ONGOLE"
07010903024,"APHMHIDC, RIMS DIVISION, EXE ENGINEER"
07010903029,"MOTHER & CHILD HOSPITAL, ONGOLE"
07011207001,"GROUND WATER DEPT, DY DIRECTOR, ONGOLE"
07011210001,"IRRIGATION DEPT, EXE ENGINEER, ,ONGOLE"
07011307001,"MINES & GEOLOGY DEPT, ASST DIRECTOR, ONGOLE"
07011502001,"ITI (BOYS), PRL, ONGOLE"
07011502002,"ITI (GIRLS), PRL, ONGOLE"
07011603001,"DIST SESSIONS JUDGE, ONGOLE"
07011603002,"IST ADDL DIST SESIONS COURT, ONGOLE"
07011603003,"SENIOR CIVIL JUDGE, PRL, ONGOLE"
07011603004,"JUNIOR CIVIL JUDGE, PRL, ONGOLE"
07011603005,"1ST ADDL, ADMC, ONGOLE"
07011603010,"OFFICIAL RECEIVER, ONGOLE"
07011603017,"DIST LEGAL SERVICES AUTHORITY, SECY, ONGOLE"
07011603025,"DIST CONSUMER FORUM, PRDT, ONGOLE"
07011603026,"DIST LEGAL SERVICES AUTHORITY, SECY, ONGOLE"
07011802001,"MUNICIPAL COMMISSIONER, ONGOLE"
07011802004,"NAGAR PANCHAYAT, CHIIMAKURTHY"
07011804001,"PUBLIC HEALTH, EXE ENGINEER, ONGOLE"
07012002001,"PLANNING DEPT, CHIEF PLANNING OFFICER, ONGOLE"
07012202008,"ZILLA PARISHAD, CHIEF EXE OFFICER, ONGOLE"
07012202009,"ZILLA PARISHAD, DY CHIEF EXE OFFICER, ONGOLE"
07012202011,"PANCHAYAR RAJ, PIU, EXE ENGINEER, ONGOLE "
07012202012,"DIST PANCHATAT OFFICER, ONGOLE"
07012202015,"DIST RURAL DEV AGENCY, PROJECT DIR, ONGOLE "
07012202016,"DIST WATER MNGMT AGENCY, PROJECT DIR, ONGOLE"
07012202074,"PANCHAYAT IRRIGNATION DIVISION, ONGOLE"
07012210001,"RURAL WATER SUPPLY, PR, SUPT ENGINEER, ONGOLE"
07012210002,"RURAL WATER SUPPLY, PR, EXE ENGINEER, ONGOLE"
07012302003,"REVENUE DIV OFFICE, ADMN OFFICER, ONGOLE"
07012302009,"COLLECTORATE, ADMN OFFICER, ONGOLE"
07012302073,"DIST REVENUE OFFICER, ONGOLE"
07012402027,"INSURANCE DEPT, ASSTDIRECTOR, DIO, ONGOLE"
07012602001,"ROADS & BUILDINGS DIVL, EXE ENGINEER, ONGOLE"
08010102002,"AGRL, ADMN OFFICER O/o JT DIRECTOR, NELLORE"
08010102014,"ATMA, PROJECT DIR, NELLORE"
08010103003,"APMIP, PROJECT DIR, NELLORE"
08010104002,"AGRL MARKETING COMMITTEE, SECY, NELLORE"
08010105003,"DIVL CO-OP OFFICER, NELLORE"
08010202005,"ANIMAL HUSBANDRY, REGINOAL JD, NELLORE"
08010203001,"FISHERIES DEPT, JT DIRECTOR, NELLORE"
08010302001,"POLYTECHNIC COLLEGE (W), GOVT, AO, NELLORE"
08010302002,"POLYTECHNIC COLLEGE, GOVT, AO, NELLORE"
08010304001,"DK COLLEGE FOR WOMEN, AO, NELLORE"
08010304015,"DK COLLEGE FOR WOMEN, PRL, NELLORE"
08010305001,"MEPM, IKP(U), PROJECT DIR, NELLORE"
08010307007,"JUNIOR COLEGE, PDK GOVT, NELLORE"
08010307008,"JUNIOR COLLEGE GOVT, KAC, PRL, NELLORE "
08010308001,"RAJIV VIDYA MISSION (SSA), ASST ACCOUNTS OFFICER, NELLORE"
08010308002,"STPM GOVT IASE, PRL, NELLORE"
08010308008,"HIGH SCHOOL MODEL, GOVT, HEAD MASTER, NELLORE"
08010308010,"HIGH SCHOOL (GIRLS), GOVT, MULAPETA, NELLORE "
08010308012,"INSP OF SCHOOLS URDU, RURAL NELLORE"
08010308025,"HIGH SCHOOL, ZP, HM, TPGUDURU"
08010308029,"HIGH SCHOOL, ZP, HM, SEDURU"
08010308057,"HIGH SCHOOL, ZP, HM, MUTHUKURU"
08010308058,"HIGH SCHOOL, ZP, HM, DAMMAYAPALLEM"
08010309001,"ZILLA GRANDHALAYA SAMSTH, SECY, NELLORE"
08010309002,"ADULT EDUCATION, DY DIRECTOR, NELLORE"
08010345001,"VIKRAM SIMHAPURI UNIVERSITY, NELLORE"
08010402001,"DY CONSERVATOR FOREST, NELLORE"
08010402002,"Dy CONSERVATOR OF FOREST, CAP(TGP) DIVISION, NELLORE"
08010402003,"DIVL FOREST OFFICER, NELLORE"
08010603001,"DIST CIVIL SUPPLY OFFICER, NELLORE"
08010702001,"DIST TREASURY, ASST TREASURY OFFICER, NELLORE"
08010703001,"STATE AUDIT, DIST AUDIT OFFICER(RA), NELLORE"
08010703004,"STATE AUDIT, ASST AUDIT OFFICER, NELLORE"
08010704003,"ADDT INSURANCE OFFICE, NELLORE"
08010705001,"APEWIDC, EXE ENGINEER, NELLORE"
08010706004,"LAND ACQUISATION, SPECIAL TAHASILDAR, NELLORE"
08010706007,ST (KTPS) LA NELLORE
08010806001,"DIST TOWN & COUNTRY PLANNING, NELLORE"
08010906007,"DSRG HQ HOSPITAL, MEDICAL OFFICER, NELLORE"
08010906016,"THW GHHC, MEDICAL OFFICER, NELLORE"
08010906034,MS GOVT M H
08011001001,"LAW & ORDER, SUB INSPECTOR, NELLORE I TOWN"
08011002003,"DIST SUB JAILS OFFICER, NELLORE"
08011002004,"DIST JAILS, PA TO SUPDT, NELLORE"
08011005001,"FIRE DEPT, ASST DVL FIRE OFFICER, NELLORE "
08011201001,"I&CAD, EXE ENGINEER, Nellore"
08011207001,"GROUND WATER, DY DIRECTOR, NELLORE"
08011210006,"ASST PAY AND ACCOUNTS, SSP FIN WING, NLR"
08011217001,AP&AO TGP NELLORE
08011217011,AP&AP TGP FINACE WING NELLORE
08011304001,"SERICULTURE, ASST DIRECTOR, NELLORE"
08011307001,"MINES & GEOLOGY, ASST DIRECTOR, NELLORE"
08011502003,"ITI(G), GOVT, PRL, NELLORE"
08011502009,"ITI GOVT, PRL, NELLORE"
08011503008,"LABOUR, ASST COMMISSIONER, NELLORE"
08011603001,"1ST ADDL JUNIOR CIVIL JUDGE, NELLORE "
08011603004,"4TH ADDL JUNIOR CIVIL JUDGE, NELLORE "
08011603007,"ADDL DIST & SESSION JUDGE, NELLORE"
08011603008,II AJMOF I CLASS NELLORE
08011603009,"DIST & SESSIONS JUDGE, NELLORE"
08011603011,"II SPECIAL MEGISTRATE II CLASS, NELLORE"
08011603013,JM ICLASS T P&EO NELLORE
08011603014,"OFFICIAL RECEIVER, NELLORE"
08011603015,"DIST FORUM, PRDT, NELLORE"
08011603016,"JUNIOR CIVIL JUDGE, PRL, NELLORE"
08011603018,"SENIOR CIVIL JUDGE, NELLORE"
08011603019,"SPECIAL JUDGE, SPECIAL ACB COURT, NELLORE"
08011603021,"JM OF 1STCLASS SMC, NELLORE"
08011603022,"SJM OF 1STCLASS RAILWAY, NELLORE"
08011603023,"SJM OF 2ND CLASS, NELLORE"
08011603024,"III ADDL DIST & SESSIONS JUDGE, NELLORE"
08011603026,"ADDL SENIOR CIVIL JUDGE, NELLOR"
08011603027,SJFOR O SC&ST UT(POA)ACT NLR
08011603035,"DIST LEGAL SERV, SECY CUM CHAIRMAN, NELLORE"
08011603040,"FAMILY COURT, JUDGE, NELLORE"
08011603041,"V ADDL JUNIOR CIVIL JUDGE, NELLORE"
08011609001,"LEGAL METROLOGY, ASST COMPTROLLER, NELLORE"
08011806001,"MUNICIPAL COMMISSIONER, NELLORE"
08012001002,"PLANNING DEPT, CHIEF PLANNING OFFICER, ONGOLE"
08012002001,"CHIEF PLANING OFFICER, NELLORE"
08012202016,"RURAL WATER SUPPY, DY EE(PR) SD, KOVUR"
08012202029,"ZILLA PARISHAD, DY CEO, NELLORE"
08012202032,"PANCHAYAT RAJ, DY EXE ENGINEER, NELLORE"
08012202033,"PUBLIC HEALTH CIRCLE, DY SUPERINTENDT ENGINEER, NELLORE"
08012202042,"RURAL WATER SUPPLY, EXE ENGINEER, NELLORE"
08012202043,EXEENG PIU DIV NELLORE
08012202044,DEE V&QC DVN NELLORE
08012202098,"DIST RURAL DEV AGENCY, PROJECT DIR, NELLORE"
08012202100,"ZILLA PARISHAD, PEO, NELLORE"
08012202136,"PUBLIC HEALTH SPL DIVISION, EXE ENGINEER, NELLORE"
08012202163,"PRI DIVISION, EXE ENGINEER, NELLORE"
08012302003,"DIST COLLECTOR, ADMN OFFICER, NELLORE"
08012302006,"MANDAL REVENUE OFFICER,TPGUDUR"
08012302007,"MANDAL REVENUE OFFICER, NELLORE"
08012302008,"MANDAL REVENUE OFFICER, VCHALEM"
08012302009,"MANDAL REVENUE OFFICER, MUTHUKUR"
08012302010,"REVENUE DIVL OFFICER, NELLORE"
08012302098,"DIST WATER MNGMT AGENCY, ADMN OFFICER, NELLORE"
08012303003,"COMMERCIAL TAX OFFICER-1, NELLORE"
08012303004,"COMMERCIAL TAX OFFICER-2, NELLORE"
08012303020,"COMMERCIAL TAX, DYCOMMISSINOR, NELLORE"
08012307001,AC & EOSMKTTEMPLEZANNAWADA 
08012308001,"ASST DIST REGISTRAR, NELLORE"
08012308009,"SUB REGISTRAR OFFICER, STONEHOUSEPET, NELLORE"
08012402026,"ED DSC SER CO-OP SL, NLR"
08012405001,"ITDA (Y), PROJECT OFFICER, NELLORE"
08012503032,"DIST BC WELFARE OFFICER, NELLORE"
08012702004,"ICDS, CDPO, NELLORE"
08012702008,"CHILDREN HOME, SUPDT, NELLORE"
08012702010,"DW&CDA, PROJECT DIR, NELLORE "
09010102001,"AGRL, ADMN OFFICER, O/o JD, KURNOOL"
09010104001,"AGRL MARKETING COMMITTEE, SECY, KURNOOL"
09010302001,"POLYTECHNIC COLLEGE, GPR, PRL, KURNOOL"
09010304001,"RAYALASEEMA UNIVERSITY, REGISTRAR, KURNOOL"
09010307001,"JUNIOR COLLEGE, GOVT, PRL, KODUMUR"
09010308010,"HIGH SCHOOL,GIRLS UR, GOVT, HEAD MASTER, KURNOOL"
09010308063,"HIGH SCHOOL, ZILLA PARISHAD, HEAD MASTER, PARLA, KURNOOL"
09010308071,"HIGH SCHOOL, ZILLA PARISHAD, HEAD MASTER, ORVAKAL KURNOOL"
09010310001,"KVR WOMEN COLLEGE, PRL, KURNOOL"
09010310002,"GOVT COLEGE FOR MEN, PRL, KURNOOL"
09010310003,"SILVER JUBLEE COLLEGE, PRL, KURNOOL"
09010310006,"JUNIOR COLLEGE TOWN, PRL, KURNOOL"
09010310008,"JUNIOR COLLEGE B CAMP, PRL, KURNOOL"
09010310009,"JUNIOR COLLEGE, PRL, ORVAKAL"
09010313001,"ZILLA GRANDHALAYA SAMSTH, SECY, KURNOOL"
09010327001,"S S K SAMITY, GOVT, PRL, KURNOOL"
09010402001,"CONSERVATOR FORESTS, KURNOOL"
09010402002,"DIST FOREST OFFICER, KURNOOL"
09010602001,DIST CIVIL SUPPLY OFFICER KURNOOL
09010602002,"DIST CONSUMER FORUM, PRDT, KURNOOL"
09010702001,"DIST TREASURY, ASST TREASURY OFFICER, KURNOOL"
09010704001,"INSURANCE, REGIONAL DY DIRECTOR, KURNOOL"
09010705001,"PAY AND ACCOUNTS OFFICE, KURNOOL"
09010705004,"LAND ADMINISTRATION, SPECIAL DY COLLECTOR HNSS-IV, KURNOOL"
09010705006,"ROAD & BUILDINGS (ELEC) DIVISION, EXE ENGINEER, KURNOOL"
09010902001,"MEDICAL COLLEGE, KURNNOOL, ADMN OFFICER"
09010903001,"GOVT GENERAL HOSPITAL, ASST DIRECTOR(ADMN), KURNOOL"
09010904001,"DIST MEDICAL & HEALTH OFFICER, KURNOOL"
09011004001,"PRINING PRESS REGIONAL, MNG WORKS, KURNOOL"
09011207001,"GROUND WATER, DY DIRECTOR, KURNOOL"
09011307002,"MINES & GEOLOGY, ASST DIRECTOR, KURNOOL"
09011502001,"DIST LEVEL TRAINING ITI, ASST DIRECTOR, KURNOOL"
09011502002,"ITI G B, GOVT, PRL, THAHNDRAPADU"
09011503001,JOINT COMMNR OF LABOUR KURNOOL
09011503002,"LABOUR DEPARTMENT, DY COMMISSIONER, KURNOOL"
09011503004,"LABOUR DEPARTMENT, ASST COMMISSIONER, KURNOOL "
09011603001,"DIST JUDGE, KURNOOL "
09011603005,"FAMILY COURT JUDGE, KURNOOL"
09011603006,"PRL SUB JUDGE, KURNOOL"
09011603008,"PRL MUNICIF NAGISTRATE, KURNOOL"
09011603011,"OFFICIAL RECEIVER, KURNOOL"
09011603012,"DIST LEGAL SERVICES AUTHORITY, DIST JUDGE CUM CHAIRMAN, KURNOOL"
09011806001,"MUNICIPAL COMMISSIONER, KURNOOL"
09012002001,"CHIEF PLANNING OFFICER, KURNOOL"
09012002002,"STATE HOUSING CORP, AP, KURNOOL"
09012002003,"APEWIDC DIVN, EXE ENGINEER, KURNOOL"
09012202001,"PANCHAYAT RAJ OFFICER, DIVL, KURNOOL "
09012202003,"ZILLA PARISHAD, CHIEF EXE OFFICER, KURNOOL"
09012202004,"ZILLA PARISAHD, DY CHIEF EXE OFFICER, KURNOOL"
09012202006,"RURAL WATER SUPPLY, PR, EXE ENGINEER, PROJECT DIVN KURNOOL"
09012202009,"PIU DIVISION, EXE ENGINEER, KURNOOL"
09012202011,"PR DIVISION (PRI), EXE ENGINEER, KURNOOL"
09012202015,"ZILLA PARISAHD, PEO(EDUCATION), KURNOOL"
09012202020,"RAJIV VIDYA MISSION (SSA), PROJECT OFFICER, KURNOOL"
09012204001,"DIST RURAL DEVELOMENT AGENCY, PD, KURNOOL"
09012204003,"DIST WATER MNGMT AGENCY, PROJECT DIR, KURNOOL"
09012302003,"REVENUE DIVL OFFICER, KURNOOL"
09012302008,"MANDAL REVENUE OFFICER, KURNOOL"
09012302010,"MANDAL REVENUE OFFICER, ORVAKAL"
09012302014,"HNSS III, SPL DY COLLECTOR, KURNOOL"
09012302017,"PLANNING DEPT, CHIEF PLANNING OFFICER, KURNOOL"
09012303003,"COMMERCIAL TAX OFFICER-II, KURNOOL"
09012303004,"COMMERCIAL TAX OFFICER III, KURNOOL"
09012303006,"COMMERCIAL TAX OFFICER-I, KURNOOL"
09012304001,"EXCISE & PROH SUPDT PA, KURNOOL"
09012305001,"DSLR, ASST DIRECTOR, KURNOOL"
09012602003,E E R B ELECTRICAL DIV KNL
09012602005,"ROADS & BUILDINGS, DAO O/o EXE ENGINEER, KURNOOL"
09012802001,"GSSK, PRL, KURNOOL"
10010102003,"AGRL , ASST DIRECTOR, ANANTAPURAMU"
10010102007,"AGRL DEPT, JT DIRECTOR, ANANTAPURAMU"
10010104002,"AGRL MARKETING COMMITTEE, SECY, ANANTPURAMU"
10010104004,"DIST LEGAL SERVICES AUTHORITY, SECY, ANANTAPURAMU"
10010104006,"ZILLA GRANDHALAYA SAMSTH, SECY, ANANTAPURAMU"
10010302001,"POLYTECHNIC B COLLEGE, GOVT, ADMN OFFICER, ANANTAPURAMU"
10010304001,"GDG(W), PRL, ANANTAPURAMU"
10010304002,"GDC(M), PRL, ANANTAPURAMU"
10010304022,"JNTU UNIVERSITY, REGISTRAR, ANANTHAPURAMU"
10010307001,"JUNIOR COLLEGE(BOYS), GOVT, PRL, ANANTAPURAMU"
10010307002,"JUNIOR COLLEGE(BOYS), GOVT, O TOWN, PRL, ANANTAPURAMU "
10010307003,"JUNIOR COLLEGE(GIRLS) KSR GOVT, PRL, ANANTAPURAMU"
10010308005,"DIST EDUCATIONAL OFFICER, ANANTAPURAMU"
10010308006,"HIGH SCHOOL-1, GOVT, HEAD MASTER, ANANTAPURAMU"
10010308007,"HIGH SCHOOL-2, GOVT, HEAD MASTER, ANANTAPURAMU"
10010308012,"HIGH SCHOOL, ZILLA PARISHAD, HEAD MASTER, THOPUDURTHY "
10010308022,"HIGH SCHOOL, ZILLA PARISHAD, HEAD MASTER, CHIYYEDU"
10010402002,"DIVL FOREST OFFICER, AANATHAPURAMU "
10010602001,"DIST CIVIL SUPPLY OFFICER, ANANTAPURAMU"
10010702001,"DIST TREASURY, ASST TRY OFFICER, ANANTAPURAMU "
10010704001,"INSURANCE DEPT, DY DIRECTOR, ANANTAPURAMU"
10010706001,"NSS, SPECIAL TAHSILDAR, ANANTAPURAMU"
10010903001,"DIST MEDICAL & HEALTH OFFICE, ADMN OFFICER, ANANTHAPURAMU "
10011003002,"PRISONS DEPT, SUPDT, AG COL, ANANTAPURAMU"
10011207001,"GROUND WATER DEPT, DY DIRECTOR, ANANTAPURAMU"
10011304001,"SERICULTURE DEPT, ASST DIRECTOR, ANANTAPURAMU "
10011307001,"MINES & GEOLOGY, ASST DIRECTOR, ANANTAPURAMU"
10011502002,"ITI (BOYS), GOVT, PRL,ANANTAPURAMU"
10011502003,PRL GOVT ITI WOMEN ANANTAPUR
10011503001,"LABOUR DEPT, ALO-I,ANANTAPURAMU"
10011503002,"LABOUR DEPT, ALO - II, ANANTAPURAMU"
10011503003,DY COMM OF LABOUR ANANTHAPURAMU
10011503004,ASST COMM OF LABOURANANTAPURAMU
10011603001,"DIST CONSUMER FORUM, PRDT, ANANTAPURAMU"
10011603002,JUDL I CLASS MAG ANANTAPURAMU
10011603003,"ADDL DIST JUDGE, ANANTAPURAMU"
10011603004,"DIST JUDGE, ANANTAPURAMU"
10011603005,"OFFICIAL RECEIVER, JUDICIARY, ANANTHAPURAMU"
10011603006,"PRL JUNIOR CIVIL JUDGE, ANANTAPURAMU"
10011603007,"PRL SENIOR CIVIL JUDGE, ANANTAPURAMU "
10011603009,"ADDL JUNIOR CIVIL JUDGE, ANANTAPURAMU "
10011603017,"SPECIAL SESSIONS JUDGE, SC ST"
10011603018,"FAMILY COURT, DIST JUDGE, ANANTHAPURAMU"
10011802001,"MUNICIPAL COMMISSIONER, ANANTAPURAMU"
10011802002,"MUNICIPAL ADMINISTRATION, RJD, ANATHAPURAMU"
10011804001,"PUBLIC HEALTH, EXE ENGINEER, ANANTAPURAMU"
10012002001,"PLANNING DEPT, CPO, ANANTAPURAMU"
10012202001,"ZILLA PARISHAD, PARI EDU OFFICER, ANANTAPURAMU"
10012202002,"PRI DIV DMM, EXE ENGINEER, ANANTAPURAMU"
10012202004,"PANCHAYAT RAJ, PA TO SUPT ENGINEER, ANANTAPURAMU"
10012202012,"ZILL PRAJA PARISHAD, DDO, ANANTAPUR"
10012202065,"DIST RURAL DEV AGENCY, PD, ANANTAPURAMU"
10012202677,"DIST WATER MNGMT AGENCY, PROJECT DIR, ANANTAPURAMU"
10012202724,"PR PROJECT DIV EXE ENGINEER, ANATHAPURAMU"
10012210001,"RURAL WATER SUPPLY & SD, PR, EXE ENGINEER, ANANTAPURAMU "
10012302001,"COLLECTORATE, HUZUR SHERISTADAR, ANANTAPUR"
10012302002,"MANDAL REVENUE OFFICER, ANANTAPUR"
10012302003,"MANDAL REVENUE OFFICER, ATMAKUR"
10012302004,"MANDAL REVENUE OFFICER, BUKKARAYASAMUDRAM"
10012302005,"MANDAL REVENUE OFFICER, KUDAIR"
10012302006,"MANDAL REVENUE OFFICER, RAPTADU"
10012302007,"REVENUE DIVL OFFICER, ANANTAPURAMU"
10012304001,"SENIOR JUDGE, I CLASS MAGIS (EXCISE), ANANTHAPURAMU"
10012308001,"DIST REGISTRAR, ANANTAPURAMU"
10012308004,"SRI KRISHNA DEVARAYA UNIVERSITY, REGISTRAR, ANANTAPURAMU"
10012308007,"SUB REGISTRAR (RURAL), ANANTAPURAMU"
10012702002,"WOMEN DEV & CHILD WELFARE, DIST OFFICER,ANATHAPURAMU"
11010102002,"AGRL , ASST DIRECTOR O/o JD, CHITTOR"
11010104002,"AGRL MARKETING COMMITTEE, SECY, CHITTOOR"
11010307007,"JUNIOR COLLEGE, GOVT, PRL, IRALA, CHITTOOR DIST"
11010307008,"JUNIOR COLLEGE,BSK, GOVT, PRL, CHITTOOR"
11010307009,"JUNIOR COLLEGE, GOVT, PRL, PENUMUR, CHITTOOR"
11010307010,"JUNIOR COLLEGE, GOVT, PRL, BOMMASAMUDRAM"
11010307011,"DEGREE COLLEGE, PVKN, GOVT, ADMN OFFR, CHITTOOR"
11010307012,"JUNIOR COLLEGE, PCR GOVT, CHITTOOR"
11010307025,"JUNIOR COLLEGE(WOMEN), K, PRL, CHITTOOR"
11010308011,"HIGH SCHOOL(BOYS), ZILLA PARISHAD, HEAD MASTER, ARAGONDA"
11010308015,"DEGREE COLLEGE(W), NPS, PRL, CHITTOOR"
11010308016,"DIST EDUCATIONAL OFFICER, CHITTOOR "
11010308076,"HIGH SCHOOL, ZILLA PARISHAD, HM, AKANAMBATTU"
11010308120,"HIGH SCHOOL, ZILLA PARISHAD, HEAD MASTER, VARIGAPALLE YADAMARI "
11010309001,"ZILLA GRANDHALAYA SAMSTH, SECY, CHITTOOR"
11010603001,"DIST CIVIL SUPPLY OFFICER, CHITTOOR"
11010702004,"DIST TREASURY, ASST TRY OFFICER, CHITTOOR"
11010704001,"INSURANCE DEPT, DIST INSURANCE OFFICER, CHITTOOR"
11010903005,MEDICAL SPDT DHQ CHITTOOR (CTR
11010903026,"DIST MEDICAL & HEALTH OFFICE, CHITTOOR"
11011207001,"GROUND WATER DEPT, DY DIRECTOR, CHITTOOR"
11011207002,"GROUND WATER DEPT, CHITTOOR"
11011225001,"APSCRIC LTD, DY EXE ENGINEER, CHITTOOR"
11011307001,"MINES & GEOLOGY, ASST DIRECTOR, CHITTOOR "
11011502003,"ITI, PRL, CHITTOOR"
11011503002,"LABOUR DEPT, ASST COMMISSIONER, CHITTOOR"
11011603001,"OFFICIAL RECEIVER, CHITTOOR "
11011603002,"DIST CONSUMER FORUM, PRDT, CHITTOOR "
11011603004,"DIST JUDGE, CHITTOOR "
11011603007,"JUNIOR CIVIL JUDGE, CHITTOOR "
11011603010,"PRL SENIOR CIVIL JUDGE, CHITTOOR "
11011603011,"ADDL SENIOR CIVIL JUDGE, CHITTOOR "
11011603015,"SPECIAL JUDICIAL MAGISTRATE, I-CLASS, CHITTOOR"
11011603017,"DIST LEGAL SERVICES AUTHORITY, SECY, CHITTOOR "
11011603024,"PLA DCC, CHAIRMAN, CHITTOOR"
11011806001,"MUNICIPAL CORPORATION, COMMISSIONER, CHITTOOR"
11012002001,"PLANNING DEPT, CPO, CHITTOOR"
11012202006,"ZILLA PARISHAD, DY EDU OFFICER, CHITTOOR"
11012202009,"DIST PANCHAYAT OFFICER, CHITTOOR"
11012202010,"ZILLA PARISHAD, CEO, CHITTOOR"
11012202011,"ZILLA PARISHAD, DY CEO, CHITTOOR"
11012202024,"RURAL WATER SUPPLY DIVISION, EXE ENGINEER, CHITTOOR"
11012202025,"PIU, EXE ENGINEER, CHITTOOR"
11012202064,"DIST RURAL DEV AGENCY, PROJECT DIR, CHITTOOR"
11012202074,"PANCHAYAT RAJ, IRRIGATION DIVISION, EXE ENGINEER, CHITTOOR"
11012202075,"DIST WATER MNGMT AGENCY, PROJECT DIR, CHITTOOR"
11012302002,"REVENUE DIVL OFFICE, AO O/o RDO, CHITTTOOR"
11012302006,"COLECTORATE, ADMNOFFICER, CHITTOOR"
11012302016,"APEWIDC, EXE ENGINEER, CHITTOOR"
11012402002,"MATRON GOVT GIRLS COLLEGE HOS(SC), CHITTOOR"
11012402012,"SOCIAL WELFARE, ASST ACCOUNTS OFFICER, O/o DD, CHITTOOR"
11012602002,"ROAD & BUILDINGS CIRCLE, SUPDT ENGINEER, CHITTOOR"
11012602004,"ROAD & BUILDINGS, EXE ENGINEER, CHITTOOR"
12010102001,"AGRL SOIL CONSERVATION, ASST DIRECTOR, YSR KADAPA"
12010102008,"AGRL, JT DIRECTOR, YSR KADAPA"
12010104004,"AGRL MARKETING COMMITTEE, SECY, YSR KADAPA"
12010202005,"ANIMAL HUSBANDRY, GAZETTED OFFICE MANAGER O/O JDAH, YSR KADAPA"
12010302001,"POLYTECHNIC COLLEGE FOR WOMEN, GOVT, PRL, YSR KADAPA"
12010304002,"ARTS COLLEGE, GOVT, PRL, YSR KADAPA"
12010304003,"COLLEGE FOR WOMEN, SKR AND SKR, PRL, YSR KADAPA"
12010307001,"JUNIOR COLLEGE FOR GIRLS, GOVT, PRL, YSR KADAPA"
12010313001,"ZILLA GRANDHALAYA SAMSTH, SECY, YSR KADAPA"
12010334001,"YOGI VEMANNA UNIVERSITY, REGISTRAR, YSR KADAPA"
12010404001,"NEDCAP, EXE ENGINEER(RE), YSR KADAPA"
12010602001,"DIST CIVIL SUPPLY OFFICER, YSR KADAPA"
12010602002,"DIST CONSUMER FOURM, PRDT,YSR KADAPA"
12010702001,"DIST TREASURY, ASST TREASURY OFFICER, YSR KADAPA"
12010702004,"DIST TREASURY, DY DIRECTOR, YSR KADAPA"
12010704001,"INSURANCE DEPT, ASST DIRECTOR, YSR KADAPA"
12010903002,"DIST MEDICAL & HEALTH OFFICE, ADMNOFFICER, YSR KADAPA"
12010903027,"APHMHIDC DIVN, EXE ENG, YSR KADAPA"
12011003003,"PRISONS DEPT, ADMN OFFICER, YSR KADAPA"
12011207001,"GROUND WATER DEPT, DY DIRECTOR, YSR KADAPA"
12011217001,"TELUGU GANGA PROJECT, PAO, YSR KADAPA"
12011218007,"TELUGU GANGA PROJECT, PAO, YSR KADAPA"
12011218010,"LAND ACQUISATION, SPECIAL DY COLLECTOR, ITGP, YSR KADAPA"
12011218027,"MI, DIVISION, EXE ENG, YSR KADAPA"
